Id,Expected,bagging+tree,bagging+svm,adaboost+tree,adaboost+svm
0,0,0.0148967385170973,0.2200838861761022,0.0218998134581963,0.0839678711176513
1,0,0.3188273018781493,0.2200604566728161,0.419826497274864,0.1623752890424441
2,0,0.0934393638170973,0.220078879869662,0.1378695347914194,0.1830572036845738
3,0,0.2839195979899497,0.2200669838397874,0.2906645170611663,0.3923301257959993
4,0,0.2839195979899497,0.2200846146339761,0.2906645170611663,0.53060058545825
5,0,0.0148967385170973,0.2200654609264822,0.0218998134581963,0.0235244991536286
6,0,0.3914538310412573,0.2603056420004827,0.543572008923407,0.7884355818963971
7,1,0.1136853448275861,0.2411078922297096,0.179500453280544,0.0220504477539819
8,1,0.0148967385170973,0.2200457125311731,0.0218998134581963,0.0145826097041792
9,0,0.2019758507135016,0.2200938237593713,0.543572008923407,0.5599509783123582
10,0,0.2839195979899497,0.2201185058478985,0.2906645170611663,0.4430872544971416
11,0,0.2839195979899497,0.2200472100996565,0.2906645170611663,0.2874294538590574
12,0,0.1255332114564289,0.2200795960287648,0.1450156911118164,0.0827726109179834
13,0,0.0148967385170973,0.2200517008064825,0.0218998134581963,0.0315179473168423
14,0,0.0148967385170973,0.2200806473239804,0.0218998134581963,0.0169075384145621
15,0,0.3188273018781493,0.2574040191784887,0.419826497274864,0.2934864208819405
16,0,0.2019758507135016,0.2200742275375662,0.419826497274864,0.1461347151145905
17,1,0.528216704288939,0.2515622328402717,0.5648660301322423,0.4281728720530585
18,0,0.0148967385170973,0.239971776304252,0.0218998134581963,0.0200043563195697
19,1,0.3914538310412573,0.2590172614961147,0.3304866391705577,0.195849052590062
20,0,0.2158398607484768,0.2200759707904672,0.3304866391705577,0.2684978034093094
21,0,0.1136853448275861,0.2200902702111118,0.179500453280544,0.6061791322139739
22,0,0.0432152117545375,0.2200700566352149,0.0877458359691455,0.0827038377835389
23,0,0.0148967385170973,0.2200700183242908,0.0218998134581963,0.006933343846613
24,0,0.1136853448275861,0.2271996612813583,0.179500453280544,0.188934827034913
25,0,0.3914538310412573,0.244269648686458,0.4336684982585209,0.2006285454605914
26,0,0.2489557226399331,0.2200860036532685,0.4336684982585209,0.2449040787786049
27,0,0.3635607321131446,0.2404958926274387,0.543572008923407,0.5896771249573908
28,0,0.0148967385170973,0.220085890073904,0.0218998134581963,0.0128107141919299
29,0,0.0148967385170973,0.2543570907214166,0.0218998134581963,0.0153980028269027
30,0,0.2839195979899497,0.3200020212644238,0.2906645170611663,0.7362942678215343
31,0,0.0148967385170973,0.253408789847072,0.0218998134581963,0.0546114476361454
32,0,0.1255332114564289,0.2200989313230794,0.1450156911118164,0.1947858375524405
33,0,0.1680851063829787,0.292662789897969,0.273942707989284,0.3725920839905349
34,1,0.2839195979899497,0.220098640701597,0.5259366926446447,0.6786360070001372
35,0,0.3914538310412573,0.2473496930622027,0.461162566175783,0.3807022875399523
36,0,0.232945091514143,0.2362394283525382,0.3295025352250799,0.1531509314389444
37,0,0.4365370506236242,0.2500380182107546,0.3305192423679075,0.3987887173686736
38,0,0.0148967385170973,0.2201085679224907,0.0218998134581963,0.0276728987627996
39,1,0.2839195979899497,0.2885798062029022,0.2906645170611663,0.294518444822829
40,0,0.0148967385170973,0.220061711962135,0.0218998134581963,0.0274544415287258
41,0,0.0432152117545375,0.2200824490523702,0.0877458359691455,0.0706228008513017
42,1,0.2839195979899497,0.2200722889658454,0.461162566175783,0.3308801637026731
43,0,0.2019758507135016,0.2475548262603387,0.3304866391705577,0.1087793896096754
44,0,0.2839195979899497,0.220076275535776,0.461162566175783,0.2744673796070032
45,0,0.2489557226399331,0.2200784416045344,0.4336684982585209,0.2334877343473252
46,0,0.3914538310412573,0.2331992959860728,0.461162566175783,0.5165383985983893
47,0,0.232945091514143,0.2201069905085656,0.3295025352250799,0.1720216658495166
48,0,0.0148967385170973,0.2200623941940179,0.0218998134581963,0.016360779125634
49,0,0.3188273018781493,0.2201231834698637,0.3556333167474525,0.1984683045780377
50,0,0.528216704288939,0.2475361234622594,0.419826497274864,0.3173903194354609
51,1,0.3635607321131446,0.2650708813329728,0.461162566175783,0.3503340331602769
52,0,0.0148967385170973,0.2435312966141903,0.1776796447710266,0.0468171649439844
53,0,0.0148967385170973,0.2200865978661222,0.0218998134581963,0.0687628720055436
54,0,0.0148967385170973,0.2952123207885317,0.0218998134581963,0.0318773711770236
55,0,0.0934393638170973,0.3005649245277001,0.1378695347914194,0.2461521502307596
56,0,0.3635607321131446,0.2200710541611234,0.3556333167474525,0.3722465045927491
57,0,0.1680851063829787,0.2419295814750622,0.273942707989284,0.0879312643084851
58,0,0.3635607321131446,0.257363947076723,0.3556333167474525,0.2661428845187195
59,0,0.2839195979899497,0.2200869649097663,0.2906645170611663,0.7112686088290455
60,0,0.1255332114564289,0.2200597934826641,0.1450156911118164,0.2699422526738812
61,0,0.0934393638170973,0.2200658395086835,0.1378695347914194,0.0869905630110784
62,0,0.2815533980582523,0.2447516005910166,0.419826497274864,0.1602535296326712
63,0,0.0148967385170973,0.2200627982932017,0.0218998134581963,0.0817871002821484
64,0,0.2158398607484768,0.2200792477787323,0.461162566175783,0.2006671700337582
65,0,0.0148967385170973,0.2200868092255979,0.0218998134581963,0.0517526283250093
66,0,0.2839195979899497,0.2200995208593207,0.419826497274864,0.4543418016181325
67,0,0.0148967385170973,0.2200559960891609,0.0218998134581963,0.0084957409232432
